,episode,role_setting,images,symbol,guess,success,sender_loss,receiver_loss,sender_loss_2,receiver_loss_2
10,221,1,[37896 36742   204 25683],48,1,False,0.0,0.0,0.0,0.0
11,222,1,[29925 13236 18684 51562],43,2,True,3.694000005722046,1.4078316688537598,3.5971226692199707,0.9725231528282166
12,223,1,[10586 18535 36960 30469],39,2,False,0.0,0.0,0.0,0.0
13,224,1,[ 9234 35341 22590 32687],24,0,False,0.0,0.0,0.0,0.0
14,225,1,[41801 20794   162  9568],12,1,False,0.0,0.0,0.0,0.0
15,226,1,[16661 17043 11122  4787],11,1,False,0.0,0.0,0.0,0.0
16,227,1,[15778 43265 41780 37895],4,3,True,3.699537992477417,1.7147666215896606,3.573596477508545,2.3434646129608154
17,228,1,[41904 20162  2065  3235],3,0,False,0.0,0.0,0.0,0.0
18,229,1,[12892  5528  3951  4085],45,3,False,0.0,0.0,0.0,0.0
19,230,1,[ 2151 45295  6219 18403],35,2,False,0.0,0.0,0.0,0.0
20,231,1,[37497 33614 13675 47617],12,3,False,0.0,0.0,0.0,0.0
21,232,1,[40265 42769 46380  2928],47,1,False,0.0,0.0,0.0,0.0
22,233,1,[45303 30289 28614 11653],36,0,False,0.0,0.0,0.0,0.0
23,234,1,[45205 30041 20284 51286],9,1,False,0.0,0.0,0.0,0.0
24,235,1,[ 1989  7941 45023 13929],41,1,True,3.965100049972534,1.3635365962982178,4.162303924560547,1.7677075862884521
25,236,1,[44742 38533 46453 34420],32,1,True,4.124383449554443,1.3877454996109009,4.2783098220825195,1.3864444494247437
26,237,1,[27185  4031 27358  4377],23,1,False,0.0,0.0,0.0,0.0
27,238,1,[36161 30207 50183 47930],15,1,False,0.0,0.0,0.0,0.0
28,239,1,[30212 39660 13861 45472],9,3,False,0.0,0.0,0.0,0.0
29,240,1,[17437 28555 31576 37604],43,1,True,3.7007970809936523,0.9292377233505249,3.6042473316192627,0.4314647912979126
0,241,0,[50997 38768 25081 13173],43,1,True,2.8882601261138916,0.18630920350551605,2.3305647373199463,0.15058967471122742
1,242,0,[19663 29001 26681 22815],46,2,False,0.0,0.0,0.0,0.0
2,243,0,[ 7597 21915  6276 15420],17,3,False,0.0,0.0,0.0,0.0
3,244,0,[49964  6403 37331 26377],8,2,False,0.0,0.0,0.0,0.0
4,245,0,[50413  9556 20251 17090],20,2,False,0.0,0.0,0.0,0.0
5,246,0,[34960 11242  7022 18733],12,0,True,3.382369041442871,1.3086260557174683,3.271944522857666,1.3839178085327148
6,247,0,[48508 43868 22617 24814],20,0,True,4.1453986167907715,3.7447350025177,4.695010662078857,2.953486919403076
7,248,0,[43966 20445 14380   263],8,3,False,0.0,0.0,0.0,0.0
8,249,0,[ 1778 43102  1961 30666],12,1,False,0.0,0.0,0.0,0.0
9,250,0,[29905 43371 30069 21071],43,0,False,0.0,0.0,0.0,0.0
10,251,0,[ 4288 15674 35987 48657],12,1,True,3.6929919719696045,1.48538076877594,3.684962034225464,1.2727293968200684
11,252,0,[51167 31608  1133 16342],39,3,False,0.0,0.0,0.0,0.0
12,253,0,[ 7647 36164 52261 47665],38,1,False,0.0,0.0,0.0,0.0
13,254,0,[ 6240 13453 12608 30129],48,0,False,0.0,0.0,0.0,0.0
14,255,0,[ 4218 23322   341 30763],35,0,True,3.8534767627716064,2.6432409286499023,3.8546371459960938,1.5013117790222168
15,256,0,[13588 36056  9985 36743],37,1,False,0.0,0.0,0.0,0.0
16,257,0,[28552 13135 39064 16212],22,0,False,0.0,0.0,0.0,0.0
17,258,0,[28444 14300  9670 13092],34,3,True,4.280508041381836,1.384777545928955,4.326536655426025,1.3916574716567993
18,259,0,[46082 11671 35805 38998],28,1,False,0.0,0.0,0.0,0.0
19,260,0,[40777 47216 31528 22237],48,1,False,0.0,0.0,0.0,0.0
20,261,0,[36944 13240 11720 18387],4,1,False,0.0,0.0,0.0,0.0
21,262,0,[51172 18581 13199 48504],6,1,False,0.0,0.0,0.0,0.0
22,263,0,[19674  2171  4313  1406],29,3,False,0.0,0.0,0.0,0.0
23,264,0,[39853 10408 48027 41150],49,2,True,3.982527494430542,1.5017364025115967,3.8638758659362793,0.9807314872741699
24,265,0,[38456 44839 11666  8631],40,3,True,4.214352607727051,0.5450019240379333,4.516162395477295,0.48511597514152527
25,266,0,[ 6703 17103 25843  9185],48,0,True,3.4336183071136475,1.3858431577682495,3.158627986907959,0.4443139135837555
26,267,0,[ 3621  2475  6356 19278],38,2,False,0.0,0.0,0.0,0.0
27,268,0,[45479  4785  2045 36351],26,1,True,4.079748630523682,1.881309151649475,4.106893539428711,1.3154125213623047
28,269,0,[20914 37766  1502 18133],28,1,False,0.0,0.0,0.0,0.0
29,270,0,[23102 38883 10936 34433],4,2,False,0.0,0.0,0.0,0.0
0,271,1,[ 2183  2630 24180 19269],24,2,False,0.0,0.0,0.0,0.0
1,272,1,[27953 50173 42442 41140],34,0,False,0.0,0.0,0.0,0.0
2,273,1,[16152 24134 10812 30288],3,2,False,0.0,0.0,0.0,0.0
3,274,1,[20251 26916 21467 27515],43,0,False,0.0,0.0,0.0,0.0
4,275,1,[41169 15245  5867 42946],24,1,False,0.0,0.0,0.0,0.0
5,276,1,[46776 41485  3274 38682],20,0,False,0.0,0.0,0.0,0.0
6,277,1,[43788 44756 48849 12307],4,0,False,0.0,0.0,0.0,0.0
7,278,1,[ 1636 51790 18017 24622],26,1,True,3.9892354011535645,0.7557891011238098,3.9337823390960693,1.202317476272583
8,279,1,[24733 31484 19422 13362],2,0,False,0.0,0.0,0.0,0.0
9,280,1,[21430 43257  9464   395],7,2,True,4.266043186187744,1.3808759450912476,4.3493452072143555,1.3886083364486694
10,281,1,[ 4414 31068 42304  5259],22,3,False,0.0,0.0,0.0,0.0
11,282,1,[43744   932 10224    96],11,3,False,0.0,0.0,0.0,0.0
12,283,1,[25798 20650 20144 42208],32,0,False,0.0,0.0,0.0,0.0
13,284,1,[36383 49453 52218  2418],29,1,True,3.83015513420105,1.0067319869995117,3.7011396884918213,3.42482328414917
14,285,1,[  593 26788 12979 16660],16,3,False,0.0,0.0,0.0,0.0
15,286,1,[ 6469 22007 44723 27724],43,1,False,0.0,0.0,0.0,0.0
